name,smiles,ESOL_predicted,measured
3-Hexanoyloxymethylphenyltoin,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.1530000000000005,-5.886
3-Octanoyloxymethylphenytoin,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.84,-6.523
3-Heptanoyloxymethylphenytoin,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.496,-6.301
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-3.057,-4.097
3-Pentanoyloxymethylphenytoin,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-3.81,-4.678
3-Ethanoyloxymethylphenytoin,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-2.7230000000000003,-4.47
3-Propanoyloxymethylphenytoin,CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-3.128,-4.907
3-Butanoyloxymethylphenytoin,CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-3.469,-5.071000000000001
Benzonitrile,N#Cc1ccccc1,-2.03,-1.0
Phenacetin,CCOc1ccc(NC(C)=O)cc1,-2.342,-2.35
Dinitramine,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-4.479,-5.47
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,-3.633,-3.75
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,-3.297,-3.927
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,-3.012,-3.083
2-Methylphenol,Cc1ccccc1O,-2.281,-0.62
p-Aminophenol,Nc1ccc(O)cc1,-1.231,-0.8
p-Xylene ,Cc1ccc(C)cc1,-3.035,-2.77
"1,2-Diethylbenzene",CCc1ccccc1CC,-3.6010000000000004,-3.28
"2,3-Dichloronitrobenzene",O=[N+]([O-])c1cccc(Cl)c1Cl,-3.322,-3.48
Chlorothalonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-3.995,-5.64
Isopropylbenzene ,CC(C)c1ccccc1,-3.265,-3.27
o-Nitrophenol,O=[N+]([O-])c1ccccc1O,-2.318,-1.74
Ioxynil,N#Cc1cc(I)c(O)c(I)c1,-4.615,-3.61
Phenol,Oc1ccccc1,-1.991,0.0
Anilofos,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-5.106,-4.432
Hexylbenzene ,CCCCCCc1ccccc1,-4.22,-5.21
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.167999999999999,-5.65
m-Nitrophenol,O=[N+]([O-])c1cccc(O)c1,-2.318,-1.01
ethiofencarb,CCSCc1ccccc1OC(=O)NC,-2.855,-2.09
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,-3.192,-2.41
m-Chloroiodobenzene,Clc1cccc(I)c1,-4.384,-3.55
m-Xylene ,Cc1cccc(C)c1,-3.035,-2.82
"1,3-Benzenediol",Oc1cccc(O)c1,-1.59,0.81
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.148,-6.62
4-Chlorotoluene,Cc1ccc(Cl)cc1,-3.297,-3.08
Butamben,CCCCOC(=O)c1ccc(N)cc1,-3.039,-3.082
Ethalfluralin,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.063,-6.124
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.546,-4.57
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.225,-5.752000000000001
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,-4.621,-4.63
o-Aminophenol,Nc1ccccc1O,-1.465,-0.72
metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-2.87,-1.601
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,-2.4090000000000003,-2.05
2-Chlorotoluene,Cc1ccccc1Cl,-3.297,-3.52
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.557,-4.862
Fluorobenzene,Fc1ccccc1,-2.514,-1.8
Pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,-3.993,-4.0
Carbophenthion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.827999999999999,-5.736000000000001
"2,4-Dinitrotoluene",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.604,-2.82
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1,-1.846,-2.34
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.265,-4.57
Phenylthiourea,NC(=S)Nc1ccccc1,-1.7009999999999998,-1.77
4-Chlorophenol ,Oc1ccc(Cl)cc1,-2.761,-0.7
m-Methylaniline,Cc1cccc(N)c1,-1.954,-0.85
Benzocaine,CCOC(=O)c1ccc(N)cc1,-2.383,-2.616
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,-4.083,-3.59
"1,2-Benzenediol",Oc1ccccc1O,-1.635,0.62
2-Bromotoluene,Cc1ccccc1Br,-3.667,-2.23
N-Ethylaniline,CCNc1ccccc1,-2.389,-1.7
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.6710000000000003,-2.89
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,-6.001,-6.98
4-Chloroanisole,COc1ccc(Cl)cc1,-3.057,-2.78
Fenitrothion,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-3.845,-4.04
o-Hydroxybenzamide,NC(=O)c1ccccc1O,-1.942,-1.82
o-Nitrotoluene,Cc1ccccc1[N+](=O)[O-],-2.589,-2.33
2-Ethyltoluene,CCc1ccccc1C,-3.2960000000000003,-3.21
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.378,-4.4
tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.299,-4.02
p-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,-2.522,-2.41
Sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1,-0.954,-1.34
Isopropalin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-5.306,-6.49
Isofenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.538,-4.194
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,-4.008,-4.0
"3,4-Dichloronitrobenzene",O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.448,-3.2
Dulcin,CCOc1ccc(NC(N)=O)cc1,-2.167,-2.17
Anethole,CC=Cc1ccc(OC)cc1,-3.254,-3.13
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,-2.867,-3.536
"2,4,6-Trinitrotoluene",Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-2.6060000000000003,-3.22
Bensulide,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.99,-4.2
2-Isopropyltoluene,Cc1ccccc1C(C)C,-3.585,-3.76
m-Chloroaniline,Nc1cccc(Cl)c1,-2.392,-1.37
Fluometuron,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.065,-3.43
3-Methylphenol,Cc1cccc(O)c1,-2.313,-0.68
"1,4-Dinitrobenzene",O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-2.281,-3.39
Fenuron,CN(C)C(=O)Nc1ccccc1,-1.847,-1.6
Benzylchloride,ClCc1ccccc1,-2.887,-2.39
Chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.938,-3.924
p-Fluoroacetanilide,CC(=O)Nc1ccc(F)cc1,-2.181,-1.78
alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.319,-3.26
p-Chloronitrobenzene,O=[N+]([O-])c1ccc(Cl)cc1,-2.901,-2.92
o-Chloronitrobenzene,O=[N+]([O-])c1ccccc1Cl,-2.775,-2.55
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.157,-4.77
Nitrobenzene,O=[N+]([O-])c1ccccc1,-2.2880000000000003,-1.8
Iodobenzene,Ic1ccccc1,-3.8,-3.01
Methocarbamol,COc1ccccc1OCC(O)COC(N)=O,-1.4280000000000002,-0.985
butachlor,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.347,-4.19
"2,3-Dichlorophenol",Oc1cccc(Cl)c1Cl,-3.144,-1.3
Propanil,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.644,-3.0
p-Methylaniline ,Cc1ccc(N)cc1,-1.954,-1.21
Metolcarb,CNC(=O)Oc1ccccc1,-1.947,-1.803
"1,2,3-Trimethylbenzene ",Cc1cccc(C)c1C,-3.312,-3.2
Aminocarb,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.677,-2.36
bromoxynil,N#Cc1cc(Br)c(O)c(Br)c1,-3.793,-3.33
Pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.835,-4.28
benzylurea,NC(=O)NCc1ccccc1,-1.509,-0.95
Chlortoluron,Cc1ccc(NC(=O)N(C)C)cc1Cl,-3.048,-3.483
Linuron,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.5810000000000004,-3.592
Thiamphenicol,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-1.936,-2.154
p-Nitrophenol,O=[N+]([O-])c1ccc(O)cc1,-2.318,-0.74
o-Nitroaniline,Nc1ccccc1[N+](=O)[O-],-2.277,-1.96
"2,6-Dinitrotoluene",Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-2.553,-3.0
"1,2,4-tribromobenzene",Brc1ccc(Br)c(Br)c1,-5.144,-4.5
Carvacrol,Cc1ccc(C(C)C)cc1O,-3.224,-2.08
chlordimeform,Cc1cc(Cl)ccc1N=CN(C)C,-3.164,-2.86
p-Nitroaniline,Nc1ccc([N+](=O)[O-])cc1,-1.936,-2.37
Chlorobenzene,Clc1ccccc1,-2.975,-2.38
p-Bromoiodobenzene,Brc1ccc(I)cc1,-4.754,-4.56
Pentylbenzene,CCCCCc1ccccc1,-3.899,-4.64
"3,4-Dichlorophenol",Oc1ccc(Cl)c(Cl)c1,-3.352,-1.25
"N,N-Diethylaniline",CCN(CC)c1ccccc1,-3.16,-3.03
"1,3-Difluorobenzene",Fc1cccc(F)c1,-2.636,-2.0
t-Pentylbenzene,CC(C)(C)Cc1ccccc1,-3.867,-4.15
o-Chloroiodobenzene,Clc1ccccc1I,-4.384,-3.54
"2,6-Dimethylphenol",Cc1cccc(C)c1O,-2.589,-1.29
Dicapthon,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.188,-4.31
Metolachlor,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-3.431,-2.73
Phenylmethanol,OCc1ccccc1,-1.699,-0.4
4-Bromophenol,Oc1ccc(Br)cc1,-3.132,-1.09
"1,3,5-Trinitrobenzene",O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.324,-2.89
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,-4.298,-4.07
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,-3.5580000000000003,-3.27
"1,3,5-Trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,-4.159,-4.48
Benzaldehyde,O=Cc1ccccc1,-1.999,-1.19
sulfaguanidine,N=C(N)NS(=O)(=O)c1ccc(N)cc1,-0.706,-1.99
Methylparaben,COC(=O)c1ccc(O)cc1,-2.441,-1.827
"2,4-Dimethylphenol",Cc1ccc(O)c(C)c1,-2.6210000000000004,-1.19
m-Chloronitrobenzene ,O=[N+]([O-])c1cccc(Cl)c1,-2.901,-2.77
Benzyltrifluoride,FC(F)(F)c1ccccc1,-3.099,-2.51
Dihexyl phthalate,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-5.757999999999999,-6.144
Dimethyl phthalate,COC(=O)c1ccccc1C(=O)OC,-2.347,-1.66
"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,-4.621,-5.56
o-Chloroaniline,Nc1ccccc1Cl,-2.392,-1.52
3-Chloroanisole,COc1cccc(Cl)c1,-3.057,-2.78
p-Hydroxybenzaldehyde ,O=Cc1ccc(O)cc1,-2.003,-0.96
o-Fluorobromobenzene,Fc1ccccc1Br,-3.467,-2.7
"2,4-Dichlorophenol ",Oc1ccc(Cl)cc1Cl,-3.22,-1.55
o-Toluidine,Cc1ccccc1N,-1.922,-2.21
Estragole,C=CCc1ccc(OC)cc1,-3.074,-2.92
karbutilate,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.655,-2.93
"1,2-Dichlorobenzene",Clc1ccccc1Cl,-3.482,-3.05
m-Nitroaniline,Nc1cccc([N+](=O)[O-])c1,-1.936,-2.19
"2,3,5-Trichlorophenol",Oc1cc(Cl)cc(Cl)c1Cl,-3.78,-2.67
Aniline ,Nc1ccccc1,-1.632,-0.41
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,-5.27,-5.6
Ronnel,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.247000000000001,-5.72
Eugenol,C=CCc1ccc(O)c(OC)c1,-2.675,-1.56
Quintozene,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.098,-5.82
methyl gallate,COC(=O)c1cc(O)c(O)c(O)c1,-1.913,-1.24
m-Fluorobromobenzene,Fc1cccc(Br)c1,-3.467,-2.67
p-Chlorobromobenzene,Clc1ccc(Br)cc1,-3.928,-3.63
o-Nitroanisole,COc1ccccc1[N+](=O)[O-],-2.346,-1.96
Dinoseb,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.715,-3.38
Guaiacol,COc1ccccc1O,-1.941,-1.96
"2,3,4-Trichlorophenol",Oc1ccc(Cl)c(Cl)c1Cl,-3.705,-2.67
Anisole,COc1ccccc1,-2.3680000000000003,-1.85
4-Ethyltoluene,CCc1ccc(C)cc1,-3.3280000000000003,-3.11
"1,3-Dinitrobenzene",O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-2.281,-2.29
p-Chloroaniline,Nc1ccc(Cl)cc1,-2.392,-1.66
t-Butylbenzene ,CC(C)(C)c1ccccc1,-3.554,-3.66
Bromobenzene,Brc1ccccc1,-3.345,-2.55
Ethyl-p-hydroxybenzoate ,CCOC(=O)c1ccc(O)cc1,-2.761,-2.35
Methyl benzoate ,COC(=O)c1ccccc1,-2.462,-1.85
Diuron,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.301,-3.8
2-Chlorophenol,Oc1ccccc1Cl,-2.553,-1.06
Phenetole,CCOc1ccccc1,-2.66,-2.33
ethyl cinnamate,CCOC(=O)C=Cc1ccccc1,-3.0980000000000003,-3.0
p-Toluenesulfonamide ,Cc1ccc(S(N)(=O)=O)cc1,-1.815,-1.74
Chlorbufam,C#CC(C)OC(=O)Nc1cccc(Cl)c1,-3.629,-2.617
fensulfothion,CCOP(=S)(OCC)Oc1ccc([S+](C)[O-])cc1,-3.283,-2.3
"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,-3.343,-3.31
"2,4,5-Trichlorophenol ",Oc1cc(Cl)c(Cl)cc1Cl,-3.78,-2.21
Phenylhydrazine,NNc1ccccc1,-1.866,0.07
"2,3,6-Trichlorophenol",Oc1c(Cl)ccc(Cl)c1Cl,-3.572,-2.64
"1,3-Dibromobenzene",Brc1cccc(Br)c1,-4.298,-3.54
Acetanilide,CC(=O)Nc1ccccc1,-1.857,-1.33
Acetophenone,CC(=O)c1ccccc1,-2.0780000000000003,-1.28
Risocaine,CCCOC(=O)c1ccc(N)cc1,-2.709,-2.452
Ethyl benzoate ,CCOC(=O)c1ccccc1,-2.775,-2.32
Monolinuron,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.948,-2.57
4-Bromotoluene,Cc1ccc(Br)cc1,-3.667,-3.19
Benfluralin,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.205,-5.53
"2,4,6-Trimethylphenol",Cc1cc(C)c(O)c(C)c1,-2.9410000000000003,-2.05
Benzene ,c1ccccc1,-2.418,-1.64
p-Chloroiodobenzene,Clc1ccc(I)cc1,-4.384,-4.03
Metoxuron,COc1ccc(NC(=O)N(C)C)cc1Cl,-2.6830000000000003,-2.564
propachlor,CC(C)N(C(=O)CCl)c1ccccc1,-3.018,-2.48
Styrene,C=Cc1ccccc1,-2.85,-2.82
o-Xylene ,Cc1ccccc1C,-3.004,-2.8
"1,4-Benzenediol",Oc1ccc(O)cc1,-1.59,-0.17
4-hexylresorcinol,CCCCCCc1ccc(O)cc1O,-3.4930000000000003,-2.59
"2,3,4,6-Tetrachlorophenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-4.203,-3.1
"1,3-Dichlorobenzene",Clc1cccc(Cl)c1,-3.5580000000000003,-3.04
thioanisole,CSc1ccccc1,-2.87,-2.39
Di(2-ethylhexyl)-phthalate,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-7.117000000000001,-6.96
"3,5-Dimethylphenol",Cc1cc(C)cc(O)c1,-2.652,-1.4
Barban,O=C(Nc1cccc(Cl)c1)OCC#CCCl,-4.16,-4.37
p-Chloroacetanilide,CC(=O)Nc1ccc(Cl)cc1,-2.642,-2.843
N-Methylaniline ,CNc1ccccc1,-2.097,-1.28
DNOC,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-2.818,-1.456
3-Chlorophenol,Oc1cccc(Cl)c1,-2.761,-0.7
m-Chlorobromobenzene,Clc1cccc(Br)c1,-3.928,-3.21
2-Phenoxyethanol,OCCOc1ccccc1,-1.761,-0.7
Ethylbenzene,CCc1ccccc1,-2.988,-2.77
Buturon,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.199,-3.9
p-Methoxybenzaldehyde,COc1ccc(C=O)cc1,-2.252,-1.49
4-Nitroacetanilide,CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.219,-2.692
p-Hydroxyacetanilide,CC(=O)Nc1ccc(O)cc1,-1.495,-1.03
stadacaine,CCCCOc1ccc(C(=O)OCC)c(N(CC)CC)c1,-5.127999999999999,-3.84
Hexamethylbenzene,Cc1c(C)c(C)c(C)c(C)c1C,-4.361000000000001,-5.23
Thymol,Cc1ccc(C(C)C)c(O)c1,-3.129,-2.22
Parathion,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-3.949,-4.66
Chloropham,CC(C)OC(=O)Nc1cccc(Cl)c1,-3.544,-3.38
1-Phenylethanol,CC(O)c1ccccc1,-1.919,-0.92
diisooctyl phthalate,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,-7.117000000000001,-6.6370000000000005
"1,3,5-Trimethylbenzene ",Cc1cc(C)cc(C)c1,-3.375,-3.4
dioctyl phthalate,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-7.148,-5.115
"1,2-Dinitrobenzene",O=[N+]([O-])c1ccccc1[N+](=O)[O-],-2.281,-3.1
"1,4-Difluorobenzene",Fc1ccc(F)cc1,-2.636,-1.97
Trifluralin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.205,-5.68
Carbetamide,CCNC(=O)C(C)OC(=O)Nc1ccccc1,-2.29,-1.83
p-Nitrotoluene,Cc1ccc([N+](=O)[O-])cc1,-2.64,-2.49
p-Cresol,Cc1ccc(O)cc1,-2.313,-0.73
"N,N-Dimethylaniline",CN(C)c1ccccc1,-2.542,-1.92
Isoprocarb,CNC(=O)Oc1ccccc1C(C)C,-2.734,-2.863
2-Chloroanisole,COc1ccccc1Cl,-2.912,-2.46
Bromophos,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-5.604,-6.09
4-Isopropyltoluene,Cc1ccc(C(C)C)cc1,-3.617,-3.77
"2,6-Dichlorophenol",Oc1c(Cl)cccc1Cl,-3.012,-1.79
Chloramphenicol,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-2.613,-2.111
"1,2-Dibromobenzene",Brc1ccccc1Br,-4.172,-3.5
"2,4,6-Trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl,-3.648,-2.34
oryzalin,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],-3.784,-5.16
"3,4-Dimethylphenol",Cc1ccc(O)cc1C,-2.6210000000000004,-1.38
Thiophenol ,Sc1ccccc1,-2.758,-2.12
XMC,CNC(=O)Oc1cc(C)cc(C)c1,-2.688,-2.5810000000000004
Benzamide,NC(=O)c1ccccc1,-1.501,-0.96
o-Chlorobromobenzene,Clc1ccccc1Br,-3.84,-3.19
"3,5-Dichlorophenol",Oc1cc(Cl)cc(Cl)c1,-3.428,-1.34
Toluene ,Cc1ccccc1,-2.713,-2.21
"2,3,4,5-Tetrachlorophenol",Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-4.335,-3.15
Diethyl phthalate ,CCOC(=O)c1ccccc1C(=O)OCC,-3.016,-2.35
Isobutylbenzene,CC(C)Cc1ccccc1,-3.57,-4.12
"2,3,5,6-Tetrachlorophenol",Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-4.203,-3.37
Propylbenzene ,CCCc1ccccc1,-3.281,-3.37
"1,2,4,5-Tetramethylbenzene",Cc1cc(C)c(C)cc1C,-3.664,-4.59
Mefluidide,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.165,-3.24
butacarb,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.642,-4.24
Butylbenzene,CCCCc1ccccc1,-3.585,-4.06
Phthalonitrile,N#Cc1ccccc1C#N,-1.717,-2.38
m-Nitrotoluene,Cc1cccc([N+](=O)[O-])c1,-2.64,-2.44
Stirofos,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.32,-4.522
phenolphthalein,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-4.59,-2.9
Carboxin,CC1=C(C(=O)Nc2ccccc2)SCCO1,-2.927,-3.14
menthol,CC1CCC(C(C)C)C(O)C1,-2.782,-2.53
Cyclohexanol ,OC1CCCCC1,-1.261,-0.44
cycloate,CCSC(=O)N(CC)C1CCCCC1,-3.35,-3.4
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.009,-4.64
"trans-1,4-Dimethylcyclohexane",CC1CCC(C)CC1,-3.305,-4.47
Cyclohexane,C1CCCCC1,-2.477,-3.1
Methylcyclohexane ,CC1CCCCC1,-2.891,-3.85
"cis-1,2-Dimethylcyclohexane",CC1CCCCC1C,-3.305,-4.3
Ethylcyclohexane,CCC1CCCCC1,-3.245,-4.25
d-inositol,OC1C(O)C(O)C(O)C(O)C1O,-0.887,0.35
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-3.419,-2.523
thymine,Cc1c[nH]c(=O)[nH]c1=O,-0.78,-1.506
5-fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,-0.792,-1.077
uracil,O=c1cc[nH]c(=O)[nH]1,-0.441,-1.4880000000000002
"Sparsomycin (3,8mg/ml)",CSC[S+]([O-])CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.57,-1.981
1-methyluracil,Cn1ccc(=O)[nH]c1=O,-0.375,-0.807
Terbacil,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-3.033,-2.484
Diosgenin,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-5.681,-7.32
Epitostanol,CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,-4.545,-5.41
Dibenzothiophene,c1ccc2c(c1)sc1ccccc12,-4.597,-4.38
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.229,-4.805
Desmedipham,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,-4.182,-4.632
Rovral,CC(C)NC(=O)n1cc(O)n(-c2cc(Cl)cc(Cl)c2)c1=O,-4.004,-4.376
alloxantin,O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,0.919,-1.99
hydrazobenzene,c1ccc(NNc2ccccc2)cc1,-3.492,-2.92
Hypoxanthine,O=c1[nH]cnc2[nH]cnc12,-0.6559999999999999,-2.296
chlorquinox,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-4.438,-5.43
citral,CC(C)=CCCC(C)=CC=O,-2.579,-2.06
1-Pentene ,C=CCCC,-2.01,-2.68
